id,jargon,definition,analogy,example,category
9a81c84f-d5df-4914-914c-10d6cfc6afc4,Tabular Data,"It is a type of data that is organized into rows and columns, like a table. Each row represents one piece of information, and each column represents a specific detail about that information.","Imagine a spreadsheet for a school's student records. Each row is a student's information, and each column shows their name, age, grade, and so on.","A database of customer orders, where each row is an order and each column shows the order date, customer name, product purchased, and total cost.",Data Basics
beb79161-2bef-491f-9987-01f2d24dd04b,Time Series,"A time series is a collection of data points that are ordered in time, like a list of temperatures measured every hour for a day. It shows how something changes over time.","Imagine a calendar where you mark the days it rains in a year. The list of rainy days is a time series, showing you when it rained and when it didn't.","A weather app showing the temperature forecast for the next week, with each day's temperature reading as a data point in a time series.",Data Basics
617c09a5-ba15-43a7-8463-8b753a4abd9f,Missing Values,"Missing values are empty or unknown pieces of information in a dataset. Imagine a spreadsheet with a column for your age, but some rows have a blank space where your age should be.","Like a survey where people are asked to fill in their favorite color, but one person forgets to write it down.","A weather app trying to predict the temperature for a city, but it can't because some historical data is missing.",Data Basics
f7731053-e5f0-4470-ad29-bf5cc70b7436,Outliers,Outliers are data points that are very different from the rest. They are like the odd one out in a group of similar things.,Imagine you're at a party with a bunch of people wearing casual clothes. But then one person shows up wearing a fancy suit and tie. That person is like an outlier – they stand out from the rest.,"A fitness tracker that normally records a person's daily steps may show an outlier of 100,000 steps on one day, which is unusually high compared to their usual activity.",Data Basics
b743e980-8f80-43f3-8394-1bb47426b263,Data Cleaning,Data cleaning is the process of making sure the information in a dataset is correct and complete. It's like checking a list of names and addresses for mistakes.,"Imagine you're organizing a phonebook, but there are many wrong numbers and misspelled names. You would go through the book, correcting the mistakes so it's accurate and useful.","A company might clean their customer database by removing duplicate entries and fixing incorrect email addresses, so they can send targeted marketing campaigns.",Data Basics
6b715e1b-c8f6-4bdb-9375-59c27f657b7e,Feature Selection,Feature selection is choosing the most important information from a big dataset so that the machine learning model can learn and make better predictions. It's like selecting the most relevant questions to ask a person to get the most useful information.,"Imagine you're planning a surprise party and you want to ask your friend about the guest of honor's favorite food. You could ask many questions, but asking if they like pizza or ice cream would give you the most useful information. Feature selection is like choosing the most important questions to ask.",A self-driving car might use feature selection to decide which camera angles or sensor readings are most important to look at when navigating a busy intersection.,Data Basics
2daefc5b-d8ef-4922-9f0e-aea1206f721d,Data Preprocessing,Data preprocessing is the process of cleaning and getting ready data for a machine learning model to use. It's like sorting through a messy closet and organizing your clothes so they're easy to find.,"Imagine you're planning a road trip and you have a bunch of old maps, but they're torn and hard to read. You would take the time to fix the maps, so they're clear and easy to follow.",A company might preprocess customer data by removing duplicate names and fixing incorrect phone numbers before using it to create a customer segmentation model.,Data Basics
7e9c2667-768a-4028-98bf-cbb6beb38d2d,Feature Engineering,Feature engineering is the process of selecting and creating the right information from data that a machine learning model can use to make predictions. It's like preparing a puzzle for the model to solve.,"Imagine you're planning a road trip and you have a map with a bunch of random points on it. Feature engineering would be choosing the right roads, landmarks, and directions to include on the map so that you can navigate easily.","A company uses feature engineering to create a new dataset for predicting customer purchases by including information like the time of day, weather, and day of the week, which helps their model make more accurate predictions.",Data Basics
920b594a-d050-4191-912e-e52a61556f87,Data Leakage,Data leakage is when sensitive information from a group of people is accidentally shared with others who shouldn't see it. This can happen when data is not properly stored or protected.,"Imagine a friend sharing your secret birthday party plans with someone you didn't invite. You trusted your friend with the information, but now it's out, and you're not happy about it.","A company's customer database gets hacked, and the hacker shares the information with other companies, revealing customer addresses and phone numbers.",Data Basics
0efd0071-61ea-4ddf-9c42-54d449282b10,Python,Python is a type of computer language that helps humans communicate with computers in a way that's easy to read and understand. It's like writing a recipe for a computer.,"Imagine writing a recipe for your favorite cake. You list the ingredients, the steps to follow, and the order in which to do things. Python is like writing that recipe, but for a computer.","Python is often used to build machine learning models, like the one that helps an email filter sort emails into spam or not spam.",Programming Basics
a8d01b00-93af-4d4c-b164-137400eea129,Notebook,A notebook is a special book where you can write and save all your code and notes while working on a project. It helps you keep track of what you've done and what you still need to do.,"Think of a notebook like a school notebook where you write down your ideas, notes, and homework. You can write, erase, and rewrite as many times as you need to.","A data scientist uses a notebook to write code for a machine learning model, save the results, and experiment with different ideas.",Programming Basics
fb46fae0-2639-4176-aaf8-013a21657060,Scikit Learn,Scikit Learn is a collection of tools that helps programmers build and use machine learning models. It's like a toolbox filled with various tools to make building models easier.,"Imagine having a set of pre-made LEGO pieces that you can use to build different structures. Scikit Learn is like that, but for machine learning models.",Programmers use Scikit Learn to quickly build and test machine learning models for tasks like image classification or natural language processing.,Programming Basics
e993fb52-98cb-4211-b5c0-8263ad231bbe,Environment,"It is the setup or the space where a program runs and uses its resources, like a computer or a phone. It includes everything the program needs to work properly.","Imagine a desk with all the tools and materials you need to work on a project, like a pen, paper, and a ruler. The desk is like the environment, and the tools are like the resources the program uses.","A web browser's environment includes the internet connection, the computer's memory, and the operating system, which all work together to display web pages.",Programming Basics
b9e07fca-0ffd-4002-a244-95ecaf5fae95,Variable,A variable is a container that holds a value. It's like a labeled box where you can store and use a piece of information.,Think of a variable like a labeled box in your closet. You can store clothes in it and then easily find them again by looking at the label.,A weather app using a variable to store the current temperature so it can display it on the screen.,Programming Basics
099fad21-33d7-44f0-a3d7-0680494bb2d7,Function,A function is a set of instructions that does a specific task when you ask for it. It's like a recipe that you can follow to make something happen.,"Think of a function like a recipe for your favorite cake. You put in the ingredients (inputs), follow the steps, and get the delicious cake (output).",A calculator function that takes in numbers and gives you their sum.,Programming Basics
3d098347-26e6-4513-b088-67d96323cc39,Loop,A loop is a way for a computer to keep doing something over and over again until a certain condition is met. It's like a never-ending circle.,"Imagine you're at a party and you're waiting for your friend to arrive. You keep checking the door every minute until they finally show up. You're not doing anything else until they arrive, just waiting and checking the door.",,Programming Basics
8554da9d-1015-4602-9fb7-5ecb99ebf893,Condition,A condition is a statement that can be either true or false. It's like a yes or no question that the system checks to see if something happens.,"Imagine you're at a bus stop and it's raining. A condition would be ""is it raining?"" If the answer is yes, you take an umbrella. If the answer is no, you don't.",A program checking if a user is logged in before showing them their account information.,Programming Basics
68e59fbb-93ce-4251-b48d-c99341ae4a31,Library,A library is a collection of pre-written code that helps programmers do their jobs more efficiently. It's like a toolbox where you can find useful tools to use in your work.,"Imagine a carpenter's workshop with shelves full of tools, each one designed for a specific task. The carpenter can grab the right tool for the job and get to work without having to build it from scratch.","A programmer might use a library to create a calculator that can handle different types of math operations, without having to write the code for each operation from scratch.",Programming Basics
362e656f-6d23-45e1-ad3d-3d2a0eec4b29,Package,A package is a collection of pre-written code that helps you complete a task. It's like a toolbox where you can find useful tools to use in your projects.,"Imagine you're going to build a bookshelf. Instead of making every single screw and nail from scratch, you buy a pre-made bookshelf kit. The kit has all the necessary parts, and you just assemble them. A package is like that kit, but for code.","When you use a package to help you sort data in your project, you're using a pre-made tool to make your job easier.",Programming Basics
0ad3dc01-e7b1-40d6-a0a9-29bf8ac8663e,Script,A script is a set of instructions that a computer can understand and follow. It's like a recipe for the computer to do something.,"Imagine writing a list of steps to make your favorite sandwich. You write down what ingredients to use, how to cut them, and how to put them together. A script is like that list, but for the computer.",A video game's storyline is often controlled by a script that tells the computer what to show the player next.,Programming Basics
3af72bb7-4ebb-4c95-90da-75e4713674a1,Debugging,Debugging is the process of finding and fixing mistakes in a computer program. It's like being a detective and figuring out what went wrong.,"Imagine you're trying to fix a bike that won't move. You check the tires, the chain, and the brakes to find out what's broken and fix it.",A self-driving car's AI system detects an error in its navigation and adjusts its route to avoid an accident.,Programming Basics
ec621731-bd28-4a59-bdf3-571588e67b48,Version Control,"Version control is a way to keep track of changes made to a project over time. It helps you see what was changed, when, and by whom.","Imagine you're working on a group project with friends, and you're all making changes to a shared document. Version control is like keeping a record of who typed what, and when, so you can see what changes were made and go back to a previous version if needed.","A software development team using version control to keep track of updates to a mobile app, so they can easily see what changes were made and fix any bugs.",Programming Basics
178f6191-02cf-4f67-9741-9c6b4e9b9295,Mean,The mean is a way to find the average of a group of numbers. It's like finding the middle value when you add up all the numbers and divide by how many there are.,"Imagine you have 5 friends who brought different amounts of money to share: $5, $10, $8, $3, and $12. To find the mean, you add up all the money ($38) and divide by how many friends there are (5), so each friend gets $7.60.",A self-driving car uses the mean speed of other cars on the road to adjust its own speed and avoid accidents.,Math Basics
ebc974ae-72b9-416e-8150-26ff783e281b,Median,"The median is the middle value in a list of numbers when they are arranged in order. If there are an even number of values, the median is the average of the two middle values.","Imagine you have a line of people waiting for a concert, and you ask everyone how tall they are. You then put the heights in order from shortest to tallest. The median height is like the height of the person right in the middle of the line.","A company wants to know the average salary of its employees, but they don't want to be affected by the very high or very low salaries. They might use the median salary instead, which gives a better idea of the ""normal"" salary.",Math Basics
a70e8d22-f8c3-4015-afc8-b2a2ab8e064b,Mode,The mode is the value that appears most often in a set of numbers. It's like the most popular choice.,"Imagine you're at a restaurant and they ask how spicy you like your food. Most people might say ""medium"", so ""medium"" would be the mode.","A survey finds that the most popular color among respondents is blue, so blue is the mode of the survey results.",Math Basics
f9ac8064-98b8-41b5-8a47-156b320052c3,Probability,Probability is a measure of how likely something is to happen. It's like a number between 0 and 1 that shows the chance of an event occurring.,"Imagine flipping a coin. Heads or tails? The probability of getting heads is 0.5, which means it's equally likely to happen as getting tails.",A weather forecast saying there's a 30% chance of rain tomorrow means there's a one-in-three chance it will rain.,Math Basics
609c4559-0dba-480f-a82c-ca1750fdccb6,Distribution,A distribution is a way to describe how things are spread out or shared among different groups. It's like counting how many apples you have in different baskets.,"Imagine you have a bag of different colored candies. A distribution would tell you how many red, blue, and green candies you have in the bag.","In machine learning, a distribution can describe how data is spread out, such as the age of people in a city, which helps model how likely it is to be a certain age.",Math Basics
1632e752-fd4d-4432-9f11-7b3a073c7fd4,Variance,Variance is a measure of how much a set of numbers changes or differs from the average. It shows how spread out the numbers are.,"Imagine a bunch of kids standing in a line, each wearing a different colored shirt. Variance is like measuring how much the colors vary from the most common color. If most kids wear blue, and only a few wear other colors, the variance is low. But if half wear blue and half wear red, the variance is high.","A machine learning model uses variance to understand how different features, like height or weight, affect the outcome of a prediction.",Math Basics
42054bae-6431-4269-8ec4-b1a4295a5365,Standard Deviation,Standard deviation is a measure of how spread out a set of numbers is. It's like finding the average distance of each number from the middle value.,"Imagine a bunch of people standing in a line, with some closer to the average height and some farther away. Standard deviation is like measuring how far apart everyone is from the average height.","A company uses standard deviation to understand how much variation there is in employee salaries, so they can set fair bonuses.",Math Basics
1a614d59-6467-45bc-9ae2-dfe21a712bae,Vector,"A vector is a way to show the direction and strength of something. It's like an arrow pointing in a certain direction, with a length that shows how strong it is.","Imagine you're on a hike and you need to get to a friend's house. You can draw an arrow on a map to show the direction you need to walk, and the length of the arrow can show how far you need to go.","When you're searching for a location on Google Maps, it shows you the direction and distance to get there, which is like a vector showing you how to get there.",Math Basics
3f32a1d2-178b-45fa-8f23-d5a630eb2eea,Matrix,"A matrix is a table of numbers, symbols, or values arranged in rows and columns. It's like a spreadsheet where you can perform calculations.","Imagine a grid of squares on a piece of paper, where each square has a number or a value inside. You can do math operations on these numbers, like adding or multiplying them.","In machine learning, a matrix is used to represent a dataset of images, where each row is a picture and each column is a feature of that picture, like color or brightness.",Math Basics
f050b61e-add8-46d0-8fe8-50d44fcfa7cf,Linear Regression,Linear Regression is a type of machine learning that predicts a continuous value based on one or more inputs. It tries to find a straight line that best fits the data.,"Imagine you're trying to guess how much water a cup can hold based on its size. You measure many cups and their water capacities, and then you try to draw a straight line that best represents the relationship between the cup size and water capacity.","A company uses Linear Regression to predict house prices based on the number of bedrooms, square footage, and location, so they can set a fair price for a new house.",ML Models
6c9d7386-9b8e-40a9-8d4d-0629de57704a,Logistic Regression,"Logistic Regression is a type of machine learning model that helps make predictions by looking at how likely something is to happen. It uses a special formula, $P(y=1) = \frac{1}{1 + e^{-z}}$, to decide on a yes or no answer.","Imagine you're trying to decide whether to go to the beach or not, based on the weather forecast. You look at the chances of it being sunny, and if it's above 50%, you go to the beach. If it's below 50%, you stay home. Logistic Regression works in a similar way, but with numbers and data.","A website using Logistic Regression to decide whether to show a user a special promotion, based on their past behavior and demographics.",ML Models
106ea913-3307-4f24-bf19-c6cfab537da7,Decision Tree,"A decision tree is a way to break down a problem into smaller, simpler choices. It's like a flowchart that helps the system decide what to do next.","Imagine a restaurant menu with many options. A decision tree is like a series of questions: ""Do you like meat?"" ""Is it beef or chicken?"" ""Do you want fries or a salad?"" Each answer leads to the next question until you get to the final choice.",A customer service chatbot using a decision tree to figure out the customer's problem and offer a solution based on their answers.,ML Models
3a7ca752-8a5e-4fb5-931a-34d7506befa0,Random Forest,It is a type of machine learning model that works by combining many smaller models to make predictions. Each smaller model uses a random selection of data to make its decision.,Imagine a group of friends trying to guess the flavor of a new ice cream. Each friend tastes a different part of the ice cream and makes a guess. The group then combines their guesses to decide on the most likely flavor.,"A Random Forest model might be used by an e-commerce website to predict which products a customer is likely to buy, by combining the predictions of many smaller models that each looked at different customer data.",ML Models
50aba2de-dba6-4cbd-8e36-13dcd74c6d24,K-Nearest Neighbors,"It's a way for a machine to guess what something is by looking at how similar it is to other things it already knows. It finds the closest ""neighbors"" in the data and uses their characteristics to make a prediction.","Imagine you're trying to guess the type of music someone likes based on their favorite artist. You look at the artists your friends like and try to find the ones that are most similar to the one you're curious about. If most of your friends like the same type of music, you're more likely to guess correctly.","A self-driving car uses K-Nearest Neighbors to recognize pedestrians by comparing them to pictures of people it has seen before, and then making a prediction about who or what they are.",ML Models
10591056-f35c-45a9-9b6a-2c1a98b7eb02,Naive Bayes,Naive Bayes is a type of machine learning model that makes predictions based on the probability of certain events happening together. It uses a simple formula: $$P(A|B) = \frac{P(B|A) \cdot P(A)}{P(B)}$$ to figure out the likelihood of something happening.,"Imagine you're at a music festival and you see a group of people wearing yellow t-shirts. You also notice that most of the people wearing yellow t-shirts are carrying guitars. Using this information, you might think that someone wearing a yellow t-shirt is more likely to be carrying a guitar.","A spam filter using Naive Bayes to decide whether an email is spam or not, based on the words used in the email and the probability of those words appearing in spam emails.",ML Models
ca47a53f-6da5-4f79-baed-a7b82e47be28,Support Vector Machine,A Support Vector Machine (SVM) is a type of machine learning model that finds the best line to separate different groups of data. It looks for the line that leaves the biggest gap between the groups.,"Imagine you have a bunch of balls of different colors, and you want to find a line that can separate the red balls from the blue balls. The SVM model will find the line that is farthest away from both groups, making it the best separator.",An image classification model using SVM to distinguish between pictures of dogs and cats by finding the best line to separate the two groups in a high-dimensional space.,ML Models
dcfb0771-94db-49f2-b07f-3a5e35625473,K-Means,"K-Means is a type of machine learning model that groups similar things together. It does this by finding the average of all the things in each group, called the ""center.""","Imagine you're at a big party with people from different countries. K-Means is like asking people to stand together with those who look similar to them. Over time, the groups form, and you can see the average height, weight, or hair color of each group.","A company uses K-Means to group customers based on their shopping habits, so they can send targeted ads to the right people.",ML Models
6942a266-315a-4965-bef9-5706eda62b3d,Principal Component Analysis,"Principal Component Analysis (PCA) is a way to simplify complex data by finding the most important features. It does this by creating new features that are a combination of the original ones, and then removing the less important ones.","Imagine you have a big box of clothes with many different shirts, pants, and dresses. PCA is like sorting the clothes into categories, like tops and bottoms, to make it easier to find what you need.","A company uses PCA to analyze customer data, such as age, income, and purchase history, to identify the most important factors that affect customer behavior, and then use that information to create targeted marketing campaigns.",ML Models
f8329b61-6bfe-40bf-9100-54662b8b8c37,Gradient Boosting,"Gradient boosting is a way for a machine learning model to improve its predictions by combining multiple weak models. It does this by adjusting the model's predictions slightly each time, to get closer to the correct answer.","Imagine a group of people trying to guess the weight of a heavy box. Each person gets a slightly different answer, but they're all close. By averaging their guesses, they get a more accurate answer. Gradient boosting does something similar, but with models that make predictions.","A credit scoring model uses gradient boosting to predict whether someone will pay back a loan. It combines multiple models that look at different factors, like income and credit history, to make a more accurate prediction.",ML Models
4b4b6187-073b-4645-89e9-6e489c2d011f,XGBoost,XGBoost is a type of machine learning model that uses decision trees to make predictions. It's like a combination of many simple decision-making trees that work together to get the best answer.,"Imagine a group of friends trying to guess the weather. Each friend has a simple way to guess (like ""it's sunny if it's warm""). XGBoost is like taking all their guesses and combining them to make a super accurate prediction.","A company uses XGBoost to predict customer churn, or when a customer stops using their service, by analyzing data like how long they've been a customer and how often they use the service.",ML Models
b534e6ad-21f2-4184-9d39-32e81760cc24,LightGBM,LightGBM is a type of machine learning model that helps computers make predictions by looking at data in small chunks. This makes it faster and more efficient.,"Imagine a librarian sorting books on a shelf. They take a few books at a time, quickly look at the titles, and then put them in the right order. LightGBM does something similar with data, but instead of books, it's looking at data points and making predictions.","A website using LightGBM to predict which products you might be interested in, based on what you've looked at before.",ML Models
40cdcce0-2ea2-412a-b736-e7b578942177,CatBoost,CatBoost is a type of machine learning model that uses a technique called gradient boosting to make predictions. It's like a team of experts working together to make a good guess.,"Imagine a group of friends trying to guess the number of candies in a jar. Each friend makes a guess, and then they all work together to make a more accurate guess. CatBoost does something similar, using many weak models to make a strong prediction.","CatBoost is used in a company to predict customer churn, or when a customer stops using their service. By analyzing customer data and behavior, CatBoost can help the company identify which customers are at risk of leaving and take steps to keep them.",ML Models
6f10d8db-fc6f-449a-aca3-e3ba94cabec6,Hierarchical Clustering,"Hierarchical Clustering is a way to group similar things together based on how similar they are. It creates a tree-like structure, where similar things are closer to each other, and less similar things are farther apart.","Imagine you're organizing a big box of different colored socks. You start by grouping the socks that are closest in color together, then the next closest, and so on. As you keep grouping, you create a tree-like structure of similar socks.","A company uses Hierarchical Clustering to group customers based on their shopping habits, so they can offer targeted promotions and discounts.",ML Models
b9e141e7-591b-40a6-89f3-83e843b77ced,Convolutional Neural Network,A Convolutional Neural Network is a type of computer program that helps machines see and understand images by looking at small parts of the picture at a time. It's like a pair of glasses that helps the machine focus on specific details.,"Imagine a detective trying to solve a puzzle by looking at small clues, like a torn piece of fabric or a suspicious footprint. The detective focuses on each clue separately before putting the whole picture together.","A self-driving car using a Convolutional Neural Network to recognize and follow traffic lights, road signs, and pedestrians.",ML Models
c22a1f39-581a-4621-892c-1008de59218a,Principal Component Analysis,Principal Component Analysis is a way to simplify a lot of data by finding the most important features that explain it. Imagine it like a big box of different colored crayons – PCA helps find the few colors that make the most beautiful picture.,Imagine taking a big pile of clothes and trying to find the most essential items to pack for a trip. PCA is like a personal stylist that helps you pick the few clothes that make the most impact.,"A company uses PCA to analyze customer reviews and find the most important factors that affect customer satisfaction, such as price, quality, and service.",ML Models
a0d41656-e503-452c-950f-02e54f2022b6,Neural Network,"A neural network is a way to teach a machine to learn from data by creating a model that is inspired by how our brains work. It's made up of layers that process information, kind of like how our brain processes thoughts and memories.","Imagine a team of workers sorting letters in a post office. Each worker looks at the address on the letter and makes a decision about where to send it next. The neural network is like a big team of these workers, each one looking at a piece of information and sending it to the next worker to make the next decision.","Self-driving cars use neural networks to recognize roads, traffic lights, and pedestrians, helping them navigate safely.",ML Models
4d4ee2f9-2cc2-4693-a060-5f14c6890761,Deep Learning,Deep learning is a type of machine learning that uses many layers of information to make predictions. Think of it like a super-smart brain that can look at lots of details to understand something.,"Imagine a detective trying to solve a mystery. They start by looking at a few clues, but then they look closer at each clue, and then they think about how all the clues fit together. That's kind of like what deep learning does, but with lots of information and layers of clues.","Self-driving cars use deep learning to recognize objects on the road, like pedestrians, cars, and traffic lights, so they can navigate safely.",ML Models
e293038d-53ba-4171-92a2-d2483a449bc4,Epoch,An epoch is a single pass through the training data when a machine learning model is being trained. It's like going through a list of items once.,"Imagine reading a book from start to finish. Each time you finish the book, it's like completing an epoch. You've gone through the entire list of pages once.",,Training Concepts
1b7bc49a-1ca3-4751-81ee-250c8fa12f82,Batch,A batch is a group of data that is used to train a machine learning model at one time. Think of it like a big box of cookies.,"Imagine you're baking a batch of cookies. You put all the ingredients together, mix them, and then bake them all at once. In machine learning, a batch is like that box of cookies – a collection of data that's used to train the model all at once.","A self-driving car's training data might be a batch of 10,000 images of roads, which it uses to learn how to navigate.",Training Concepts
